Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A Dictionary of Medical Science","Robley Dunglison",1868,"Dictionary, Medical Science",https://worldherblibrary.org/catalog/a-dictionary-of-medical-science-with-the-accentuation-and-etymology-of-the-terms-and-the-french-and-other-synonyms/,publish,https://api.worldherblibrary.org/pdf/Medical_Lexicon_A_Dictionary_of_Medical_Science_With_the_Accentuation_and_Etymology_of_the_terms_and_the_French_and_other_synonyms_Robley_Dunglison_p_B00IVPNEJK.pdf
"A DICTIONARY OF PRACTICAL MATERIA MEDICA vol 1","John Henry Clarke",1900,Homeopathy,https://worldherblibrary.org/catalog/a-dictionary-of-practical-materia-medica-vol-1/,publish,https://api.worldherblibrary.org/pdf/A-DICTIONARY-OF-PRACTICAL-MATERIA-MEDICA-vol-1-compressed.pdf
"A DICTIONARY OF PRACTICAL MATERIA MEDICA vol 2","John Henry Clarke",1902,Homeopathy,https://worldherblibrary.org/catalog/a-dictionary-of-practical-materia-medica-vol-2/,publish,https://api.worldherblibrary.org/pdf/A-dictionary-of-practical-materia-medica-vol-2-1-compressed.pdf
"A DICTIONARY OF PRACTICAL MATERIA MEDICA vol 3","John Henry Clarke",1925,Homeopathy,https://worldherblibrary.org/catalog/a-dictionary-of-practical-materia-medica-vol-3/,publish,https://api.worldherblibrary.org/pdf/A-dictionary-of-practical-materia-medica-vol-3-2-compressed.pdf
"A Digest Of The Principles And Practice Of Medicine","Rustomjee Naserwanjee Khory",1879,Ayurveda,https://worldherblibrary.org/catalog/a-digest-of-the-principles-and-practice-of-medicine/,publish,https://api.worldherblibrary.org/pdf/A-digest-of-the-principles-and-practice-of-medicine-compressed.pdf
"A Dinner Of Herbs","Marjorie Bartholomew Paradis",1861,Herbs,https://worldherblibrary.org/catalog/a-dinner-of-herbs/,publish,https://api.worldherblibrary.org/pdf/A-dinner-of-herbs-compressed.pdf
"A Directory for Midwives","Nicholas Culpeper",1755,"Nicholas Culpeper",https://worldherblibrary.org/catalog/a-directory-for-midwives/,publish,https://api.worldherblibrary.org/pdf/A-directory-for-midwives-compressed.pdf
"A discourse on medical botany","Philip Henry Stanhope Earl Stanhope",1854,,https://worldherblibrary.org/catalog/a-discourse-on-medical-botany-2/,publish,https://api.worldherblibrary.org/pdf/A-discourse-on-medical-botany-compressed.pdf
"A Discourse on Medical Botany","Earl Stanhope",1854,"Medical Botany",https://worldherblibrary.org/catalog/a-discourse-on-medical-botany/,publish,https://api.worldherblibrary.org/pdf/MB3-compressed.pdf
"A discourse on the times, character and writings of Hippocrates","Elisha Bartlett",1852,,https://worldherblibrary.org/catalog/a-discourse-on-the-times-character-and-writings-of-hippocrates-2/,publish,https://api.worldherblibrary.org/pdf/A-discourse-on-the-times-character-and-writings-of-Hippocrates-compressed-1.pdf
